AreaManagerId,SellingPointId,StartDateSellingPoint,EndDateSellingPoint,SellingPointDesc,Location
344,30082,20120101,20990101,,"(52.097787264, 5.132419449)"
344,30065,20131001,20990101,,"(52.080250671, 5.136948055)"
363,16838,20090416,,Eva Besnyostraat,"(52.350391345, 5.007392323)"
796,73037,20110101,,,"(51.688663982, 5.316517899)"
363,16888,20140116,,Diemerzeedijk 4,"(52.36309709, 4.961921073)"
344,30101,20120101,20990101,,"(52.083501375, 5.098128633)"
375,3830,20150601,,,"(52.483014, 4.657822)"
363,14046,20060404,,Postjesweg t/h 122,"(52.364372811, 4.851396851)"
363,13635,20060404,,DERDE OOSTERPARKSTRAAT 337 T/O_BORD,"(52.358847917, 4.925404804)"
363,14622,20060404,,JEKERSTRAAT 66 T/H,"(52.346054309, 4.897336956)"
344,30032,20120101,20990101,,"(52.079285186, 5.126329583)"
796,73079,20110101,,,"(51.691416018, 5.296240865)"
363,14709,20060404,,RIJNSTRAAT 104 T/O,"(52.344553697, 4.905586343)"
363,19130,20070206,,Bos en Lommerweg 73,"(52.3827511, 4.856160954)"
363,16173,20060404,,HEMBRUGSTRAAT 29 T/H_BORD,"(52.391552838, 4.875922022)"
363,14142,20060404,,Vespuccistraat t/h 55,"(52.371325251, 4.853308573)"
363,17530,20060404,,M.HANENBERGSTRAAT 44 T/O,"(52.359032259, 4.801941358)"
796,73072,20110101,,,"(51.689597385, 5.296145933)"
344,30171,20160401,20990101,,"(52.067587836, 5.1094131)"
344,30999,20120101,20990101,,"(52.103010198, 5.09601934)"
363,18836,20111003,,van der Boechorststraat 58,"(52.326914405, 4.861722622)"
715,45316,20150508,,Markt,"(51.336848894, 3.828384833)"
118,23155,20150101,,Het Haagje Z,"(52.720608126, 6.480065282)"
363,15061,20070801,,KONINGIN WILHELMINAPLEIN 12,"(52.355191543, 4.836127663)"
363,15214,20140104,,Oostoever_BORD,"(52.367661481, 4.82844186)"
344,30054,20120101,20990101,,"(52.087715955, 5.098212138)"
796,73089,20110101,,,"(51.693542832, 5.313520507)"
153,8119,20110101,20500101,,"(52.215007413, 6.888414791)"
363,13607,20060404,,LINNAEUSSTRAAT 102 T/H,"(52.355908654, 4.927708821)"
